created_at,in_reply_to_user_id,referenced_tweet,ref_type,text,id,source,user_description,user_created_at,user_followers_count,verified,user_location,user_id,user_screen_name
Mon May 09 05:59:58 +0000 2022,None,1523310277978210308,retweet,"RT @mustafauzbas: Kim kiminle otobüse binmiş tartışmasını boşverin de, Konya Büyükşehir’de 2,50 TL olan toplu ulaşım fiyatının, CHP’nin yö…",1523543278963945476,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sonsuz hayata geçiş,Thu Feb 03 08:50:59 +0000 2022,43,False,None,1489159393232965636,Yusuf19573789
Mon May 09 05:59:59 +0000 2022,None,,,İmamoğlu Mansur Yavaş bunlara Yazı Yazmaya Bile Değmez... İlk Seçimde Bu Kadar Başarısızlıkla Aday Dahi Yapılmazlar,1523543285003808769,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ALLAH Beni ARAMAYANDAN RAZI OLSUN,Mon Oct 14 21:51:23 +0000 2019,709,False,None,1183862843978014721,RESNFEDAS1
Mon May 09 06:00:00 +0000 2022,None,,,"""Ortada bir başarı hikayesi görmüyorum"" Muharrem İnce'den Mansur Yavaş ve Ekrem İmamoğlu'na 'ince' eleştiri! https://t.co/IuWxg1uCKH",1523543288191541248,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",https://t.co/begArM7Gip | https://t.co/tUcDdCqqHo | https://t.co/usPmRpghUA | https://t.co/PdES0QdD70 | https://t.co/rfJyin4wTz | https://t.co/huYrjrPCe3 | https://t.co/0gqZxLyWkK,Thu Apr 21 16:05:15 +0000 2011,1890901,True,Türkiye,285685164,Ahaber
Mon May 09 06:00:00 +0000 2022,238307907,,,@av_aydinegemen @iyiparti Kardeş mümkün ise akp naksan holding akp eli ile nasıl çöküldü devlet nasıl milyarlarca… https://t.co/Ae1nEhAxqB,1523543288674160640,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Suçu açığa çıkarmak suç olarak kabul ediliyorsa, suçlular tarafından yönetiliyorsunuz demektir!.. 🌼🌼  (Edward Snowden)",Sat Feb 27 17:40:16 +0000 2021,5,False,None,1365718288039313411,VLKNYKSL06
Mon May 09 06:00:01 +0000 2022,None,,,Erdoğan: Ordumuz hudut boylarında yanlışa fırsat vermedi https://t.co/PbmAXWOlvD,1523543290104098817,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Trakya'dan, Rumeli'den Türkiye'den, Dünyadan Güncel Haberler",Wed Nov 20 13:45:08 +0000 2013,9529,False,Türkiye,2204940265,ajansrumeli
Mon May 09 06:00:01 +0000 2022,None,,,"Müslüm Balıktaş ve oğlu Pehlevi Balıktaş, 9 Mayıs 1979'da gece MHP'li faşistlerce yolları kesilerek katledildiler.… https://t.co/0taLmWgpUj",1523543290812923904,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Ölümsüzlerin ve Tutsakların Sesi Platformu resmi Twitter hesabı.  Yedek hesap @OTSPlatformu,Wed May 01 20:31:02 +0000 2019,1737,False,None,1123686287393869825,OTSPlatformu2
Mon May 09 06:00:01 +0000 2022,None,,,"""İmamoğlu ‘Adayım Sayın Genel Başkanım Kılıçdaroğlu’dur’ demesine karşılık yaptığı son hamleyle hem siyaseti hem de… https://t.co/yke8zUnwU7",1523543292444434432,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","#Ahval Türkiye’nin gerçek gündemi: Sıcak gelişmeler, bilmeniz gereken tüm haberler, özgür yorumlar, uzman analizleri.  http://facebook.com/AhvalTR",Fri Oct 20 10:58:18 +0000 2017,244791,True,None,921329723380260864,ahval_tr
Mon May 09 06:00:02 +0000 2022,None,1523113774697357312,retweet,RT @univecall: Hani Müslüman Müslümanı kırmazdı? Furkan Vakfı'nın gönüllülerine acımasızca zulmedilirken neredeydi AKP Müslümanları? Allah…,1523543296508788736,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Allah yolunda çalışma zamanı,Mon Aug 19 06:04:00 +0000 2013,7203,False,"Kahramanmaraş, Türkiye",1682517169,haydar_grkem
Mon May 09 06:00:03 +0000 2022,None,1523438592365776898,retweet,"RT @06melihgokcek: ZİHNİ ÇAKIR, MANSUR YAVAŞ’IN TOGO KULELERİ KARARINI YERLE BİR EDİYOR… https://t.co/isJ9pxPC4V",1523543298995937280,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",HESABIMDA KISITLAMA MEVCUTTUR.. MUTLAKA TÜM TAKİPLERE GERİ TAKİP YAPACAĞIM..  🇹🇷 CUMHUR İTTİFAKI HESAPLARI TAKİPLEŞİYOR,Mon Apr 23 10:59:39 +0000 2012,16297,False,None,561114057,MilliTakipTR
Mon May 09 06:00:03 +0000 2022,None,1523410815096811520,retweet,RT @ozan_blk07: AKP ‘nin yeni taktiği muhalefete karşı muhalefet örgütlemek. Oyuncuların oyununa gelmeyin!,1523543300078071808,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sevdigin insanlari kaybetmeye alistigin zaman, hayati onemsememeye basliyorsun",Wed Jan 13 08:03:31 +0000 2021,412,False,None,1349265694743998464,Bukan13022654
Mon May 09 06:00:03 +0000 2022,None,1523273694310662144,retweet,RT @M_Levent_Bulbul: MHP Sakarya il başkanımız Sn. A. Ziya Akar ve il başkan yardımcılarımızla birlikte il yönetim kurulu üyemiz Meridyen Y…,1523543301659721729,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Thu Feb 11 16:58:20 +0000 2021,80,False,None,1359909557770846209,Hayri13105589
Mon May 09 06:00:04 +0000 2022,None,,,"Bakan Kurum: “Cumhurbaşkanımız Recep Tayyip Erdoğan’ı bir kez daha rekor bir oyla seçeceğiz"" | Tuzla Haber… https://t.co/FjWXfXIkBB",1523543302624415745,"<a href=""https://www.paylasdur.com"" rel=""nofollow"">paylasdur.com.</a>",http://www.tuzlagundem.com Türkiye ve Dünya gündemine yayın yapan bir haber sitesidir.,Sat Dec 26 16:34:07 +0000 2020,1586,False,None,1342871234418249728,tuzlagundem2
Mon May 09 06:00:05 +0000 2022,221790511,,,@enginozkoc La zaten alamıyodu da ERDOĞAN doneminde ev sahibi oldu işçisi bile. Memurlar lüx evlerde arabalarda yaş… https://t.co/jALZJA7IKs,1523543310303842304,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Tue May 30 16:37:05 +0000 2017,131,False,None,869593518163075072,STR_erol
Mon May 09 06:00:06 +0000 2022,None,1523274474572845057,retweet,"RT @Ergulyuksel1985: Ben ne kadar MHP'liysem , Okadarda Ak Parti'liyim, Bi Okadarda BBP 'liyim. Bunu gönül rahatlığıyla söyleyebiliyorum.…",1523543312887541762,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Zamanında muhtar olamaz diyorlardı. Hep beraber BAŞKAN olduğunu izliyoruz  İnadına değil İnandığımız için REİS dedik,Sun Apr 24 21:10:06 +0000 2022,474,False,None,1518336435488763905,AnnNesli1
Mon May 09 06:00:09 +0000 2022,None,1523299240402898944,retweet,RT @kacsaatolduson: MHP'li Kemalettin Nalcı'nın tartıştığı abisi Aziz Nalcı'yı bacağından yaralamasının ardından çıkarıldığı mahkemece adli…,1523543326078619650,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Tue Jul 26 23:22:31 +0000 2011,86,False,None,343025478,eozyesil
Mon May 09 06:00:10 +0000 2022,1120420123985285122,,,@Rotso4 @eness_turann @umitozdag Millet değil ak-millet ittifakı oldu için,1523543331376033792,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Tue Jan 14 06:42:15 +0000 2020,17,False,None,1216973739444916224,BayBobo1
Mon May 09 06:00:11 +0000 2022,None,1523501301560188928,quote,"Akp zihniyetlilerin üstat belledikleri Necip Fazıl;""Dünya beş para etmiyor."" Demiş ama, onun talebeleri iktidarda.… https://t.co/xtFauLsa5a",1523543332311367680,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Faşizm ve din tüccarlarına karşı mücadele etmek bir şereftir.Bu şeref, herkeste bulunmuyor.",Tue May 04 11:11:19 +0000 2021,961,False,None,1389538041056960513,ertav_turgut
Mon May 09 06:00:12 +0000 2022,None,1523390809110093824,retweet,RT @Eskikral06: Kemal Kılıçdaroğlu CB adayı olursa destekler misin ?,1523543338330116096,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","-Zamanı tanrı yaşar, insan oğlu hep ölmek için doğmuş /türemiş / yaratılmış. -Öd tengri yaşar kişi oglı kop ölgeli törümiş. BİLGE KAĞAN 𐰤𐰤𐰀𐰢:𐰕𐰃𐰋:𐰃𐰼𐰭𐱅",Sun Apr 25 13:54:04 +0000 2021,4714,False,Nevşehir Kozaklı,1386317529686097930,BTB_TTK
Mon May 09 06:00:12 +0000 2022,1110451910102921218,,,"@yildiz_isthbrt Gönül isterdi doğru oldun lakin, sallamasyon bir anket donucu var karşımızda.chp'nin oyu eşeği aday… https://t.co/YxWnZVH9H1",1523543339773022208,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Hakedenler yanımda zaten....,Wed Nov 09 13:39:24 +0000 2011,64,False,türkiye,408478929,altanyenice
Mon May 09 06:00:13 +0000 2022,None,1523398106842222592,retweet,"RT @jahreindota: 17) Peki bu kadrolar nasıl paylaşılıyor? Gelin CHP İl Başkan Yardımcısı @ozgurnas Bey'den dinleyelim: ""100 kişi alınıyorsa…",1523543340377309184,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Karadenizli sigortacı ve tabii ki Galatasaraylı. Siyaseti sever lakin sadece sever,Fri Oct 14 09:27:17 +0000 2016,91,False,None,786860919720669185,gkhnblc08
Mon May 09 06:00:13 +0000 2022,None,1522042408745193472,retweet,"RT @josephineVV5: CHP Grup Başkanvekili Mehmet Akif Hamzaçebi, TBMM Genel Kurulu'nda Irak ve Suriye tezkerelerinin görüşülmesine başlanmada…",1523543341186441216,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HAK🇹🇷HUKUK🇹🇷ADALET🇹🇷 Cumhuriyet Halk Partisi Batman il Sekreteri,Mon Jul 04 20:00:34 +0000 2011,1360,False,"Batman, Türkiye",329267141,haldeh
Mon May 09 06:00:16 +0000 2022,342823357,,,"@BurakKadercan Bu arkadaş değil miydi daha iki gün önce ""AKP bilerek gerilimi tırmandırıyor, sonra sorunu çözecek,… https://t.co/jpeRGsZpty",1523543353920737282,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Nihirizumu o toshite nihirizumu o ckokoku. Daishi no shita ni daigo ari.,Sun Nov 01 14:27:53 +0000 2020,223,False,"İstanbul, Türkiye",1322908188929392640,Nitchizumu
Mon May 09 06:00:17 +0000 2022,None,1518854437263007746,retweet,"RT @diyadinosman: Kılıçdaroğlu’nun arkasından dolanan, parti içinde Ekrem Bey ile gizli ittifak yapan,elektrik skandalında Kılıçdaroğlu’nu…",1523543359612416000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Öğretmen. 🚫DM YOK🚫                     Sadece Milli Hesapları takip ediyorum,Tue Jan 27 23:52:59 +0000 2015,11620,False,izmir,3002323565,meftune_20
Mon May 09 06:00:21 +0000 2022,None,1523410815096811520,retweet,RT @ozan_blk07: AKP ‘nin yeni taktiği muhalefete karşı muhalefet örgütlemek. Oyuncuların oyununa gelmeyin!,1523543376200577025,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Wed May 09 06:24:40 +0000 2018,49,False,None,994100821720780802,Esula2019
Mon May 09 06:00:21 +0000 2022,None,1523416038024507393,retweet,"RT @r__lcayirmeral: ""Yeter ki Erdoğan gitsin, tuvalet terliğine bile oy veririz"" diyenler; bu ülkenin, bu milletin menfaatini, geleceğini d…",1523543376892612609,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bizi Güçlü Kılan, Allah'ın Davasına Gösterdiğimiz Sadakattır. 🇹🇷🇹🇷",Fri May 17 06:38:57 +0000 2019,3403,False,None,1129275092545003520,karadagliTurk
Mon May 09 06:00:22 +0000 2022,None,1523393985145753601,retweet,RT @Kenanyapic1: Yerli ve milli astronot 2022 sonuna kadar eğitilecekmiş. AKP gençlik kollarından moonwalk yapanlar müracaat edebilirler!…,1523543379958968320,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Atatürk'çü Cumhuriyetçi Ey Türk Gençliği! Birinci vazifen, Türk istiklâlini, Türk Cumhuriyeti'ni, ilelebet muhafaza ve müdafaa etmektir. #UluSolcular™️     ✋ 🩸",Wed Sep 28 14:32:18 +0000 2011,32215,False,Canada,381546710,twit_Meclisi
Mon May 09 06:00:22 +0000 2022,None,1523378837710462976,retweet,RT @Turan_eli12: 😡 CHP'li İBB Vandalları     Beşiktaş'daki Tarihi       Hamidiye Çeşmesi'ni                  Y…,1523543381129179137,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Derviş'e sormuşlar; Allah ile aran nasıl diye.. Nasıl olsun, hep O'nun dediği oluyor, demiş. ""La Galiba İllAllah""",Fri Mar 22 20:47:00 +0000 2019,925,False,None,1109194790481133568,Gnur86
Mon May 09 06:00:23 +0000 2022,1112109428,,,"@krtkulturtv AKP'de mí öğrendin sallamayı,tarihten bir habersin.",1523543384170053632,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Sat Aug 27 19:03:46 +0000 2016,90,False,None,769611380156731396,prenverain
Mon May 09 06:00:25 +0000 2022,None,1523399921616834561,quote,"Ümit Özdağ sen neymişsin be. Senden sonra Davutoğlu “Soyum Türkmendir, aslım Oğuzdur” diye klip yaptı, İYİ partili… https://t.co/tS2em4vKUp",1523543391841128450,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Partisiz, Müslüman,Türk,Yörük, Türkçü,Atatürk, Tarih Dr., Siyaset Bilimci, UAİ Uzmanı, Yazar, Denizli/Çivril/Kocayaka, UQAM (Kanada), İstanbul Üniversitesi,",Tue Aug 15 19:33:34 +0000 2017,128777,False,"Ankara, Türkiye",897541794564624384,omerturantv72
