created_at,in_reply_to_user_id,referenced_tweet,ref_type,text,id,source,user_description,user_created_at,user_followers_count,verified,user_location,user_id,user_screen_name
Mon May 09 05:59:55 +0000 2022,,1523439131770376192,retweet,RT @drsimonegold: BREAKING: GoFundMe has shut down a campaign to raise money for an 8-year-old girl injured shortly after taking Pfizer’s C…,1523543265726795779,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Mon Apr 18 08:53:31 +0000 2016,58,False,,721984995049480192,silver1960
Mon May 09 05:59:55 +0000 2022,,1523439131770376192,retweet,RT @drsimonegold: BREAKING: GoFundMe has shut down a campaign to raise money for an 8-year-old girl injured shortly after taking Pfizer’s C…,1523543265726795779,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Mon Apr 18 08:53:31 +0000 2016,58,False,,721984995049480192,silver1960
Mon May 09 05:59:55 +0000 2022,,1523542548912152577,retweet,RT @ShailviShah1: @mansukhmandviya We people worked during all 3 waves of covid..we don't need any praise by your side.. We demand a fair c…,1523543266532421632,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",I'd rather lose an argument than get into a long discussion in order to win it,Sun Jan 30 16:14:37 +0000 2022,24,False,tennis,1487821495644864516,heerafas
Mon May 09 05:59:55 +0000 2022,,1523542548912152577,retweet,RT @ShailviShah1: @mansukhmandviya We people worked during all 3 waves of covid..we don't need any praise by your side.. We demand a fair c…,1523543266532421632,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",I'd rather lose an argument than get into a long discussion in order to win it,Sun Jan 30 16:14:37 +0000 2022,24,False,tennis,1487821495644864516,heerafas
Mon May 09 05:59:56 +0000 2022,,,,IPS school reinstates mask mandate due to rising COVID-19 cases https://t.co/Ccb422Mp4h,1523543270139129857,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","Welcome to AGADIR-GROUP, We depend on giving you the genuine report associated with development and amusement with a thought on 101% phenomenal news.",Sat Feb 12 15:06:45 +0000 2022,1,False,,1492515474055348224,AgadirGroup
Mon May 09 05:59:56 +0000 2022,,,,IPS school reinstates mask mandate due to rising COVID-19 cases https://t.co/Ccb422Mp4h,1523543270139129857,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","Welcome to AGADIR-GROUP, We depend on giving you the genuine report associated with development and amusement with a thought on 101% phenomenal news.",Sat Feb 12 15:06:45 +0000 2022,1,False,,1492515474055348224,AgadirGroup
Mon May 09 05:59:56 +0000 2022,,1523301881753260032,retweet,"RT @matthewdmarsden: If I had taken the vaxx, I would be reading every page of the Pfizer data dump.  If I vaxxed my kids, I would read it…",1523543271925968898,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Aspie who loves movies, interesting TV, travel blogs & non-fiction books. Trivia freak.  Mac/Apple fan. On Facebook. New to Twitter & other social media.",Sun May 24 11:46:15 +0000 2009,236,False,"Roseburg, Oregon",42200661,Jedworthen
Mon May 09 05:59:56 +0000 2022,,1523301881753260032,retweet,"RT @matthewdmarsden: If I had taken the vaxx, I would be reading every page of the Pfizer data dump.  If I vaxxed my kids, I would read it…",1523543271925968898,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Aspie who loves movies, interesting TV, travel blogs & non-fiction books. Trivia freak.  Mac/Apple fan. On Facebook. New to Twitter & other social media.",Sun May 24 11:46:15 +0000 2009,236,False,"Roseburg, Oregon",42200661,Jedworthen
Mon May 09 05:59:56 +0000 2022,1453124258624724996,,,@alienfrens Called her yesterday. Words &gt; 1000 pictures Mom in UK Me in taiwan Not seen her since onset of COVID… https://t.co/U4NS4tjl9u,1523543271930482689,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",•🦍 BAPEFAM | BAPE PFP until 5ETH|🔥 🚬 Kiwami 極👺｜Alienfrens 👽🛸2 x 😻😻| INTJ-A,Sun Nov 05 12:39:01 +0000 2017,433,False,,927153277065617408,chappyaroi
Mon May 09 05:59:56 +0000 2022,1453124258624724996,,,@alienfrens Called her yesterday. Words &gt; 1000 pictures Mom in UK Me in taiwan Not seen her since onset of COVID… https://t.co/U4NS4tjl9u,1523543271930482689,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",•🦍 BAPEFAM | BAPE PFP until 5ETH|🔥 🚬 Kiwami 極👺｜Alienfrens 👽🛸2 x 😻😻| INTJ-A,Sun Nov 05 12:39:01 +0000 2017,433,False,,927153277065617408,chappyaroi
Mon May 09 05:59:56 +0000 2022,,1523001101527961601,retweet,RT @DatGuy_DeMike: Unpopular Opinion: I enjoyed the lockdown when Covid first hit.,1523543272915824641,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Tue Aug 25 17:36:01 +0000 2015,31,False,,3439408823,tishaa333
Mon May 09 05:59:56 +0000 2022,,1523001101527961601,retweet,RT @DatGuy_DeMike: Unpopular Opinion: I enjoyed the lockdown when Covid first hit.,1523543272915824641,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Tue Aug 25 17:36:01 +0000 2015,31,False,,3439408823,tishaa333
Mon May 09 05:59:57 +0000 2022,,1523461428224528384,retweet,RT @talk2oleary: BREAKING: During a campaign stop Ontario’s Premier is asked what message he has for people who lost loved ones to COVID. P…,1523543273607819264,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Old libtard proud Canadian.Go Oilers.,Fri Jul 06 23:10:10 +0000 2012,3009,False,,628806217,PeterToupin
Mon May 09 05:59:57 +0000 2022,,1523461428224528384,retweet,RT @talk2oleary: BREAKING: During a campaign stop Ontario’s Premier is asked what message he has for people who lost loved ones to COVID. P…,1523543273607819264,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Old libtard proud Canadian.Go Oilers.,Fri Jul 06 23:10:10 +0000 2012,3009,False,,628806217,PeterToupin
Mon May 09 05:59:57 +0000 2022,117318446,,,@bradmcquaidd Maybe. Do you think that's the only time she would've ever been exposed to COVID? I think it's fine… https://t.co/9hs2UxilQf,1523543274216050688,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Please don’t read my bio,Thu Jun 02 02:40:20 +0000 2011,1032,False,North America,309433293,BoobyJargon
Mon May 09 05:59:57 +0000 2022,117318446,,,@bradmcquaidd Maybe. Do you think that's the only time she would've ever been exposed to COVID? I think it's fine… https://t.co/9hs2UxilQf,1523543274216050688,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Please don’t read my bio,Thu Jun 02 02:40:20 +0000 2011,1032,False,North America,309433293,BoobyJargon
Mon May 09 05:59:57 +0000 2022,,1523540887854530560,retweet,"RT @AboutIndia: ASI’s excavation at Harappan site of Rakhigarhi reveals drainage system, copper and gold jewellery. https://t.co/eKZqrjJ6rr",1523543274975535104,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,Wed Jun 09 15:52:46 +0000 2021,12,False,,1402654653339209731,SubhranilBera8
Mon May 09 05:59:57 +0000 2022,269581619,,,@7NewsAdelaide @M_Plums @KimberleyPratt_ It's all bullshit. I don't see Covid as leading cause of death. They are c… https://t.co/SE7B6A7sWW,1523543275398860801,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Thu Sep 02 09:45:02 +0000 2021,478,False,,1433365291631734789,Rosie72988852
Mon May 09 05:59:57 +0000 2022,269581619,,,@7NewsAdelaide @M_Plums @KimberleyPratt_ It's all bullshit. I don't see Covid as leading cause of death. They are c… https://t.co/SE7B6A7sWW,1523543275398860801,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Thu Sep 02 09:45:02 +0000 2021,478,False,,1433365291631734789,Rosie72988852
Mon May 09 05:59:58 +0000 2022,1104527291302916096,1377618480527257606,quote,@IpseDixitCicero Here is the CEO of Pfizer stating the vaccine is 100% effective Seems like a fraudulent claim rig… https://t.co/dWRghg85J7,1523543277504704512,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","A retweet is welcomed, a follow gets this on the National Agenda.
The driest inhabited continent on the planet needs a water infrustructure solution",Tue Sep 10 02:48:41 +0000 2019,3542,False,Australia,1171254067193974784,BradfieldThe
Mon May 09 05:59:58 +0000 2022,1104527291302916096,1377618480527257606,quote,@IpseDixitCicero Here is the CEO of Pfizer stating the vaccine is 100% effective Seems like a fraudulent claim rig… https://t.co/dWRghg85J7,1523543277504704512,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","A retweet is welcomed, a follow gets this on the National Agenda.
The driest inhabited continent on the planet needs a water infrustructure solution",Tue Sep 10 02:48:41 +0000 2019,3542,False,Australia,1171254067193974784,BradfieldThe
